group,value.of.group,mdl,n,chisq,df,cfi,tli,rmsea,rmsea.ci.lower,rmsea.ci.upper,cfi.robust,tli.robust,rmsea.robust,rmsea.ci.lower.robust,rmsea.ci.upper.robust,diff Chisq multi-mdl,diff df multi-mdl,Pr(>Chisq) multi-mdl,diff Chisq efa-mdl,diff df efa-mdl,Pr(>Chisq) efa-mdl,diff Chisq theoretical_mdl,diff df theoretical_mdl,Pr(>Chisq) theoretical_mdl,obs,err
Unidade,Faculdade de Arquitetura e Urbanismo - FAU,theoretical_mdl,264,236.6188,97,0.9493,0.9372,0.0738,0.062,0.0858,0.9436,0.9302,0.0777,0.0671,0.0884,7.082207377155215,8,0.5277896845414335,NA,2,NA,NA,NA,NA,NA,NA
Unidade,Centro de Tecnologia - CTEC,multi-mdl,334,253.7785,89,0.9601,0.9462,0.0745,0.0638,0.0853,0.9582,0.9437,0.076,0.0659,0.0863,NA,NA,NA,85.21450552806094,10,4.735217097701923e-14,19.640027168262,8,0.011787213426941104,NA,NA
Unidade,Centro de Tecnologia - CTEC,efa-mdl,334,331.5747,99,0.9437,0.9318,0.0839,0.074,0.0939,0.9415,0.9291,0.0853,0.0759,0.0948,85.21450552806094,10,4.735217097701923e-14,NA,NA,NA,64.21983562554954,2,1.1345924245637974e-14,NA,NA
Unidade,Centro de Tecnologia - CTEC,theoretical_mdl,334,271.6064,97,0.9577,0.9477,0.0734,0.0632,0.0838,0.9557,0.9452,0.075,0.0653,0.0849,19.640027168262,8,0.011787213426941104,64.21983562554954,2,1.1345924245637974e-14,NA,NA,NA,NA,NA
Unidade,Faculdade de Letras - FALE,multi-mdl,160,141.4534,89,0.9739,0.9648,0.0607,0.041,0.079,0.9719,0.9621,0.0629,0.0443,0.0804,NA,NA,NA,48.15629203567084,10,5.811872706985016e-7,21.077845992973508,8,0.006943488549499653,NA,NA
Unidade,Faculdade de Letras - FALE,efa-mdl,160,182.3661,99,0.9585,0.9497,0.0725,0.0558,0.0889,0.9557,0.9463,0.0748,0.059,0.0905,48.15629203567084,10,5.811872706985016e-7,NA,NA,NA,29.986695152056026,2,3.0794409628103825e-7,NA,NA
Unidade,Faculdade de Letras - FALE,theoretical_mdl,160,159.8875,97,0.9687,0.9612,0.0637,0.0454,0.0809,0.9662,0.9581,0.0661,0.049,0.0825,21.077845992973508,8,0.006943488549499653,29.986695152056026,2,3.0794409628103825e-7,NA,NA,NA,NA,NA
Unidade,Centro de Educação - CEDU,multi-mdl,496,355.6688,89,0.9501,0.9327,0.0777,0.0694,0.0863,0.948,0.9299,0.0793,0.0715,0.0872,NA,NA,NA,175.80850847097304,10,1.7357250748459336e-32,65.90394985362835,8,3.196935799421377e-11,NA,NA
Unidade,Centro de Educação - CEDU,efa-mdl,496,521.4857,99,0.9209,0.9041,0.0928,0.085,0.1007,0.9186,0.9014,0.094,0.0867,0.1014,175.80850847097304,10,1.7357250748459336e-32,NA,NA,NA,NA,2,NA,NA,NA
Unidade,Centro de Educação - CEDU,theoretical_mdl,496,434.694,97,0.9368,0.9218,0.0838,0.0758,0.0919,0.935,0.9195,0.0849,0.0774,0.0926,65.90394985362835,8,3.196935799421377e-11,NA,2,NA,NA,NA,NA,NA,NA
Unidade,Instituto de Ciências Biológicas e da Saúde - ICBS,multi-mdl,146,228.7477,89,0.9125,0.882,0.1037,0.0872,0.1204,0.8999,0.8651,0.1109,0.0971,0.1251,NA,NA,NA,42.85122855811574,10,5.287013461528584e-6,6.680055988116645,8,0.5715122581062064,*,NA
Unidade,Instituto de Ciências Biológicas e da Saúde - ICBS,efa-mdl,146,271.0593,99,0.8923,0.8694,0.1091,0.0937,0.1247,0.8796,0.8541,0.1154,0.1021,0.1289,42.85122855811574,10,5.287013461528584e-6,NA,NA,NA,182.62711243366172,2,2.2030604403780953e-40,*,NA
Unidade,Instituto de Ciências Biológicas e da Saúde - ICBS,theoretical_mdl,146,236.6782,97,0.9126,0.8918,0.0993,0.0833,0.1154,0.9009,0.8774,0.1057,0.092,0.1197,6.680055988116645,8,0.5715122581062064,182.62711243366172,2,2.2030604403780953e-40,NA,NA,NA,NA,NA
Unidade,Campus Sertão (Delmiro Gouveia e Santana do Ipanema),multi-mdl,243,294.3901,89,0.9269,0.9014,0.0975,0.0852,0.1099,0.9256,0.8997,0.098,0.0859,0.1102,NA,NA,NA,67.35161653297064,10,1.4352407312373746e-10,19.783261505430254,8,0.011187895411635212,NA,NA
Unidade,Campus Sertão (Delmiro Gouveia e Santana do Ipanema),efa-mdl,243,368.4239,99,0.9041,0.8838,0.1058,0.0944,0.1175,0.9031,0.8825,0.106,0.0947,0.1176,67.35161653297064,10,1.4352407312373746e-10,NA,NA,NA,75.40596043278161,2,4.224776519038282e-17,*,NA
