Unidade,Nivel,Modalidade,DispositivoEmCasa,n,npar,fmin,chisq,df,pvalue,baseline.chisq,baseline.df,baseline.pvalue,cfi,tli,nnfi,rfi,nfi,pnfi,ifi,rni,logl,unrestricted.logl,aic,bic,ntotal,bic2,rmsea,rmsea.ci.lower,rmsea.ci.upper,rmsea.pvalue,rmr,rmr_nomean,srmr,srmr_bentler,srmr_bentler_nomean,crmr,crmr_nomean,srmr_mplus,srmr_mplus_nomean,cn_05,cn_01,gfi,agfi,pgfi,mfi,ecvi,cfi.obs,tli.obs,rmsea.obs,rmsea.pvalue.obs
"Campus Arapiraca (Arapiraca, Palmeira dos Índios e Penedo)",Graduação (licenciatura),Presencial,NA,308,39,0.446,274.7608,97,0,3751.9815,120,0,0.9511,0.9395,0.9395,0.9094,0.9268,0.7491,0.9514,0.9511,-4379.2552,-4241.8748,8836.5104,8981.9843,308,8858.2926,0.0771,0.0665,0.088,0,0.0531,0.0531,0.0586,0.0586,0.0586,0.0623,0.0623,0.0586,0.0586,136.6264,149.315,0.91,0.8738,0.649,0.7493,1.1453,NA,NA,NA,NA
"Instituto de Ciências Humanas, Comunicação e Artes - ICHCA",Graduação (licenciatura),Presencial,NA,142,39,0.7783,221.0271,97,0,1821.3393,120,0,0.9271,0.9098,0.9098,0.8499,0.8786,0.7102,0.9281,0.9271,-2274.006,-2163.4924,4626.0119,4741.2892,142,4617.8906,0.0949,0.0784,0.1115,0,0.114,0.114,0.0778,0.0778,0.0778,0.0828,0.0828,0.0778,0.0778,78.7304,86.0025,0.8491,0.7884,0.6056,0.6462,2.1058,NA,NA,NA,NA
Faculdade de Letras - FALE,Graduação (licenciatura),Presencial,NA,119,39,0.5175,123.1597,97,0.0377,1747.3466,120,0,0.9839,0.9801,0.9801,0.9128,0.9295,0.7514,0.9841,0.9839,-1661.8374,-1600.2576,3401.6749,3510.0607,119,3386.7666,0.0476,0.0123,0.0713,0.5435,0.0853,0.0853,0.0654,0.0654,0.0654,0.0697,0.0697,0.0654,0.0654,117.9033,128.8402,0.8917,0.8482,0.636,0.8959,1.6904,NA,NA,NA,the model has close fit
Centro de Educação - CEDU,Graduação (licenciatura),Presencial,NA,330,39,0.4458,294.2066,97,0,3739.6553,120,0,0.9455,0.9326,0.9326,0.9027,0.9213,0.7447,0.9459,0.9455,-5005.237,-4858.1337,10088.474,10236.6386,330,10112.9301,0.0785,0.0683,0.0888,0,0.0979,0.0979,0.0697,0.0697,0.0697,0.0742,0.0742,0.0697,0.0697,136.7093,149.4057,0.9088,0.8721,0.6482,0.7417,1.1279,NA,NA,NA,NA
NA,Doutorado,Presencial,NA,140,39,0.8628,241.5763,97,0,1511.2318,120,0,0.8961,0.8714,0.8714,0.8022,0.8401,0.6791,0.8978,0.8961,-2060.9916,-1940.2035,4199.9833,4314.7073,140,4191.3164,0.1032,0.0869,0.1196,0,0.1503,0.1503,0.0946,0.0946,0.0946,0.1007,0.1007,0.0946,0.0946,71.1168,77.6766,0.8385,0.7736,0.5981,0.5967,2.2827,NA,NA,poor model fit,NA
NA,NA,Educação a Distância,NA,154,39,0.6774,208.6414,97,0,1808.7959,120,0,0.9339,0.9182,0.9182,0.8573,0.8847,0.7151,0.9348,0.9339,-2374.7806,-2270.4599,4827.5611,4946.0023,154,4822.5614,0.0865,0.0703,0.1026,2e-04,0.1271,0.1271,0.0897,0.0897,0.0897,0.0954,0.0954,0.0897,0.0897,90.3035,98.6583,0.8631,0.808,0.6156,0.696,1.8613,NA,NA,NA,NA
NA,NA,NA,Não Tem Nemhum Dispositivo,597,39,0.3919,467.9295,97,0,7186.9113,120,0,0.9475,0.9351,0.9351,0.9195,0.9349,0.7557,0.9477,0.9475,-9205.7655,-8971.8008,18489.531,18660.8157,597,18537.0021,0.08,0.0728,0.0874,0,0.0473,0.0473,0.0432,0.0432,0.0432,0.046,0.046,0.0432,0.0432,155.3626,169.8041,0.9214,0.8898,0.6572,0.733,0.9145,NA,NA,NA,NA
Centro de Educação - CEDU,NA,NA,Não Tem Nemhum Dispositivo,99,39,0.7583,150.1353,97,4e-04,1149.7496,120,0,0.9484,0.9362,0.9362,0.8385,0.8694,0.7028,0.9495,0.9484,-1572.3915,-1497.3239,3222.7831,3323.9927,99,3200.8287,0.0744,0.0499,0.097,0.0508,0.1065,0.1065,0.0907,0.0907,0.0907,0.0966,0.0966,0.0907,0.0907,80.7812,88.2451,0.8691,0.8165,0.6199,0.7646,2.3044,NA,NA,NA,the model has close fit
NA,Graduação (licenciatura),NA,Não Tem Nemhum Dispositivo,293,39,0.3795,222.3689,97,0,3545.7223,120,0,0.9634,0.9547,0.9547,0.9224,0.9373,0.7576,0.9636,0.9634,-4513.4604,-4402.276,9104.9209,9248.4476,293,9124.7688,0.0664,0.0549,0.0779,0.0103,0.0524,0.0524,0.05,0.05,0.05,0.0532,0.0532,0.05,0.05,160.4196,175.3342,0.9245,0.8942,0.6594,0.8074,1.0251,NA,NA,NA,NA
Centro de Educação - CEDU,Graduação (licenciatura),NA,Não Tem Nemhum Dispositivo,97,39,0.756,146.6547,97,9e-04,1152.2522,120,0,0.9519,0.9405,0.9405,0.8425,0.8727,0.7055,0.9529,0.9519,-1527.7724,-1454.4451,3133.5449,3233.9586,97,3110.8104,0.0726,0.0472,0.0958,0.0684,0.1038,0.1038,0.0892,0.0892,0.0892,0.0949,0.0949,0.0892,0.0892,81.0247,88.5114,0.8695,0.8171,0.6202,0.7742,2.316,NA,NA,NA,the model has close fit
