Unidade,Nivel,Modalidade,DispositivoEmCasa,n,npar,fmin,chisq,df,pvalue,baseline.chisq,baseline.df,baseline.pvalue,cfi,tli,nnfi,rfi,nfi,pnfi,ifi,rni,logl,unrestricted.logl,aic,bic,ntotal,bic2,rmsea,rmsea.ci.lower,rmsea.ci.upper,rmsea.pvalue,rmr,rmr_nomean,srmr,srmr_bentler,srmr_bentler_nomean,crmr,crmr_nomean,srmr_mplus,srmr_mplus_nomean,cn_05,cn_01,gfi,agfi,pgfi,mfi,ecvi,cfi.obs,tli.obs,rmsea.obs,rmsea.pvalue.obs
NA,Mestrado,Presencial,NA,250,37,0.6122,306.0852,99,0,3050.6977,120,0,0.9293,0.9144,0.9144,0.8784,0.8997,0.7422,0.9298,0.9293,-3591.8686,-3438.8261,7257.7373,7388.0313,250,7270.7382,0.0915,0.0799,0.1032,0,0.1955,0.1955,0.1216,0.1216,0.1216,0.1292,0.1292,0.1214,0.1214,101.6462,110.9707,0.8677,0.8183,0.6316,0.6609,1.5203,NA,NA,NA,NA
NA,Doutorado,Presencial,NA,140,37,1.0394,291.0392,99,0,1511.2318,120,0,0.862,0.8327,0.8327,0.7666,0.8074,0.6661,0.864,0.862,-2085.7231,-1940.2035,4245.4461,4354.2869,140,4237.2237,0.1177,0.1022,0.1335,0,0.2575,0.2575,0.1526,0.1526,0.1526,0.1619,0.1619,0.1522,0.1522,60.2756,65.7673,0.7923,0.7146,0.5767,0.5037,2.6074,NA,unacceptable model fit,poor model fit,NA
NA,NA,Educação a Distância,NA,154,37,0.7051,217.1581,99,0,1808.7959,120,0,0.93,0.9152,0.9152,0.8545,0.8799,0.726,0.9309,0.93,-2379.0389,-2270.4599,4832.0778,4944.4451,154,4827.3345,0.088,0.0722,0.1039,1e-04,0.2401,0.2401,0.1308,0.1308,0.1308,0.1391,0.1391,0.1307,0.1307,88.3865,96.4826,0.8535,0.7988,0.6213,0.6814,1.8906,NA,NA,NA,NA
NA,NA,NA,Não Tem Nemhum Dispositivo,597,37,0.4601,549.4032,99,0,7186.9113,120,0,0.9363,0.9227,0.9227,0.9073,0.9236,0.7619,0.9365,0.9363,-9246.5023,-8971.8008,18567.0047,18729.5056,597,18612.0414,0.0873,0.0802,0.0945,0,0.1388,0.1388,0.0904,0.0904,0.0904,0.0961,0.0961,0.0903,0.0903,134.9007,147.3061,0.9057,0.8704,0.6593,0.6858,1.0442,NA,NA,NA,NA
"Campus Arapiraca (Arapiraca, Palmeira dos Índios e Penedo)",NA,NA,Não Tem Nemhum Dispositivo,141,37,0.8014,226.0051,99,0,1993.3063,120,0,0.9322,0.9178,0.9178,0.8626,0.8866,0.7315,0.933,0.9322,-1962.3026,-1849.3,3998.6052,4107.7093,141,3990.6424,0.0954,0.079,0.1118,0,0.1639,0.1639,0.1271,0.1271,0.1271,0.1351,0.1351,0.127,0.127,77.8777,85.0002,0.8395,0.7795,0.6111,0.6374,2.1277,NA,NA,NA,NA
Centro de Tecnologia - CTEC,NA,NA,Não Tem Nemhum Dispositivo,31,37,2.8432,176.2777,99,0,660.3269,120,0,0.857,0.8266,0.8266,0.6764,0.733,0.6048,0.8623,0.857,-450.8025,-362.6637,975.6051,1028.6626,31,913.3879,0.1587,0.1199,0.1963,0,0.3418,0.3418,0.1821,0.1821,0.1821,0.1902,0.1902,0.1799,0.1799,22.6703,24.6779,0.6677,0.5435,0.4861,0.2875,8.0735,NA,unacceptable model fit,poor model fit,NA
Centro de Educação - CEDU,NA,NA,Não Tem Nemhum Dispositivo,99,37,0.8083,160.0484,99,1e-04,1149.7496,120,0,0.9407,0.9281,0.9281,0.8313,0.8608,0.7102,0.9419,0.9407,-1577.3481,-1497.3239,3228.6961,3324.7155,99,3207.8676,0.0789,0.0557,0.1008,0.0231,0.1614,0.1614,0.1151,0.1151,0.1151,0.1223,0.1223,0.115,0.115,77.2226,84.2843,0.8556,0.8016,0.6228,0.7347,2.3641,NA,NA,NA,NA
NA,Graduação (bacharelado),NA,Não Tem Nemhum Dispositivo,297,37,0.6783,402.8842,99,0,3875.7549,120,0,0.9191,0.9019,0.9019,0.874,0.8961,0.7392,0.9195,0.9191,-4440.1469,-4238.7047,8954.2937,9090.9618,297,8973.6221,0.1017,0.0914,0.1121,0,0.1637,0.1637,0.1035,0.1035,0.1035,0.1097,0.1097,0.1031,0.1031,91.8397,100.2557,0.8634,0.8124,0.6285,0.5995,1.6057,NA,NA,poor model fit,NA
NA,Graduação (licenciatura),NA,Não Tem Nemhum Dispositivo,293,37,0.435,254.8959,99,0,3545.7223,120,0,0.9545,0.9448,0.9448,0.9129,0.9281,0.7657,0.9548,0.9545,-4529.7239,-4402.276,9133.4479,9269.6143,293,9152.278,0.0733,0.0623,0.0845,4e-04,0.1294,0.1294,0.091,0.091,0.091,0.0968,0.0968,0.0909,0.0909,142.646,155.769,0.911,0.8777,0.6631,0.7664,1.1225,NA,NA,NA,NA
Centro de Educação - CEDU,Graduação (licenciatura),NA,Não Tem Nemhum Dispositivo,97,37,0.8044,156.0548,99,2e-04,1152.2522,120,0,0.9447,0.933,0.933,0.8358,0.8646,0.7133,0.9458,0.9447,-1532.4725,-1454.4451,3138.945,3234.2093,97,3117.3764,0.0771,0.053,0.0995,0.034,0.1619,0.1619,0.1136,0.1136,0.1136,0.1207,0.1207,0.1134,0.1134,77.5939,84.6901,0.8556,0.8017,0.6228,0.7452,2.3717,NA,NA,NA,NA
