Unidade,Nivel,Modalidade,DispositivoEmCasa,n,npar,fmin,chisq,df,pvalue,baseline.chisq,baseline.df,baseline.pvalue,cfi,tli,nnfi,rfi,nfi,pnfi,ifi,rni,logl,unrestricted.logl,aic,bic,ntotal,bic2,rmsea,rmsea.ci.lower,rmsea.ci.upper,rmsea.pvalue,rmr,rmr_nomean,srmr,srmr_bentler,srmr_bentler_nomean,crmr,crmr_nomean,srmr_mplus,srmr_mplus_nomean,cn_05,cn_01,gfi,agfi,pgfi,mfi,ecvi,cfi.obs,tli.obs,rmsea.obs,rmsea.pvalue.obs
Faculdade de Medicina - FAMED,Graduação (bacharelado),NA,NA,185,32,0.208,76.9486,59,0.0583,1834.7632,78,0,0.9898,0.9865,0.9865,0.9446,0.9581,0.7247,0.9899,0.9898,-1994.0267,-1955.5524,4052.0534,4155.1048,185,4053.7512,0.0406,0,0.064,0.7211,0.0998,0.0998,0.0776,0.0776,0.0776,0.0839,0.0839,0.0776,0.0776,188.3607,210.5639,0.9401,0.9076,0.6095,0.9526,0.7619,NA,NA,NA,NA
Instituto de Ciências Atmosféricas - ICAT,Graduação (bacharelado),NA,NA,61,32,0.5871,71.63,59,0.1252,792.7027,78,0,0.9823,0.9766,0.9766,0.8805,0.9096,0.6881,0.9828,0.9823,-603.0496,-567.2346,1270.0993,1337.6472,61,1236.9818,0.0592,0,0.103,0.3641,0.0985,0.0985,0.0814,0.0814,0.0814,0.0879,0.0879,0.0814,0.0814,67.3655,75.2302,0.855,0.7764,0.5544,0.9017,2.2234,NA,NA,NA,model fit is worse
Faculdade de Direito - FDA,Graduação (bacharelado),NA,NA,84,32,0.508,85.346,59,0.014,908.603,78,0,0.9683,0.9581,0.9581,0.8758,0.9061,0.6854,0.969,0.9683,-1056.5407,-1013.8677,2177.0814,2254.8676,84,2153.9228,0.0729,0.0339,0.1054,0.1414,0.231,0.231,0.1127,0.1127,0.1127,0.1218,0.1218,0.1127,0.1127,77.7015,86.791,0.8742,0.8059,0.5668,0.8549,1.7779,NA,NA,NA,model fit is worse
NA,Graduação (licenciatura),NA,NA,1316,32,0.0711,187.1045,59,0,12519.6525,78,0,0.9897,0.9864,0.9864,0.9802,0.9851,0.7451,0.9897,0.9897,-18113.3077,-18019.7555,36290.6155,36456.4508,1316,36354.8016,0.0406,0.0342,0.0472,0.9907,0.0533,0.0533,0.0344,0.0344,0.0344,0.0371,0.0371,0.0344,0.0344,549.1245,614.0802,0.9785,0.9668,0.6344,0.9525,0.1908,NA,NA,NA,NA
"Instituto de Geografia, Desenvolvimento e Meio Ambiente - IGDEMA",Graduação (licenciatura),NA,NA,40,32,0.9227,73.8176,59,0.0927,505.0953,78,0,0.9653,0.9541,0.9541,0.8068,0.8539,0.6459,0.9668,0.9653,-566.3888,-529.48,1196.7776,1250.8217,40,1150.6853,0.0792,0,0.1316,0.2183,0.171,0.171,0.0966,0.0966,0.0966,0.1044,0.1044,0.0966,0.0966,43.2287,48.233,0.8169,0.7175,0.5296,0.8309,3.4454,NA,NA,NA,model fit is worse
"Campus Arapiraca (Arapiraca, Palmeira dos Índios e Penedo)",Graduação (licenciatura),NA,NA,331,32,0.1438,95.2205,59,0.002,3329.1854,78,0,0.9889,0.9853,0.9853,0.9622,0.9714,0.7348,0.9889,0.9889,-4250.3354,-4202.7252,8564.6708,8686.3386,331,8584.8336,0.0431,0.0262,0.0585,0.7543,0.0752,0.0752,0.0504,0.0504,0.0504,0.0544,0.0544,0.0504,0.0504,271.8976,304.0005,0.9586,0.9362,0.6215,0.9468,0.481,NA,NA,NA,NA
Instituto de Química e Biotecnologia - IQB,Graduação (licenciatura),NA,NA,44,32,0.7698,67.7428,59,0.2036,544.1751,78,0,0.9812,0.9752,0.9752,0.8354,0.8755,0.6622,0.982,0.9812,-493.8602,-459.9888,1051.7205,1108.8145,44,1008.5393,0.058,0,0.1132,0.4028,0.146,0.146,0.0982,0.0982,0.0982,0.106,0.106,0.0982,0.0982,51.6171,57.6155,0.8256,0.731,0.5353,0.9054,2.9942,NA,NA,NA,model fit is worse
"Instituto de Ciências Humanas, Comunicação e Artes - ICHCA",Graduação (licenciatura),NA,NA,142,32,0.2633,74.778,59,0.0807,1377.3179,78,0,0.9879,0.9839,0.9839,0.9282,0.9457,0.7153,0.988,0.9879,-1913.9691,-1876.5801,3891.9383,3986.5247,142,3885.2746,0.0434,0,0.0709,0.6233,0.1308,0.1308,0.0698,0.0698,0.0698,0.0754,0.0754,0.0698,0.0698,148.9865,166.5236,0.9285,0.8897,0.602,0.946,0.9773,NA,NA,NA,NA
Faculdade de Letras - FALE,Graduação (licenciatura),NA,NA,125,32,0.223,55.7571,59,0.5958,1456.4018,78,0,1,1.0031,1.0031,0.9494,0.9617,0.7275,1.0023,1.0024,-1600.0063,-1572.1277,3264.0126,3354.5186,125,3253.3288,0,0,0.0494,0.953,0.0684,0.0684,0.0591,0.0591,0.0591,0.0638,0.0638,0.0591,0.0591,175.7098,196.4139,0.9375,0.9036,0.6078,1.0131,0.9581,NA,NA,NA,NA
Centro de Educação - CEDU,Graduação (licenciatura),NA,NA,382,32,0.1046,79.9476,59,0.0361,3504.5369,78,0,0.9939,0.9919,0.9919,0.9698,0.9772,0.7392,0.9939,0.9939,-5345.1223,-5305.1485,10754.2446,10880.4981,382,10778.9675,0.0305,0.0082,0.0464,0.9808,0.071,0.071,0.0449,0.0449,0.0449,0.0485,0.0485,0.0449,0.0449,373.3622,417.4891,0.969,0.9522,0.6283,0.973,0.3768,NA,NA,NA,NA
Instituto de Ciências Biológicas e da Saúde - ICBS,Graduação (licenciatura),NA,NA,50,32,0.6945,69.4517,59,0.1657,609.9908,78,0,0.9804,0.974,0.974,0.8495,0.8861,0.6703,0.981,0.9804,-620.1394,-585.4135,1304.2787,1365.4635,50,1265.0208,0.0595,0,0.1096,0.3784,0.1916,0.1916,0.1205,0.1205,0.1205,0.1302,0.1302,0.1205,0.1205,57.1041,63.7527,0.8398,0.7529,0.5445,0.9008,2.669,NA,NA,NA,model fit is worse
Campus Sertão (Delmiro Gouveia e Santana do Ipanema),Graduação (licenciatura),NA,NA,101,32,0.4262,86.0851,59,0.0123,1010.3134,78,0,0.9709,0.9616,0.9616,0.8874,0.9148,0.692,0.9715,0.9709,-1433.2845,-1390.242,2930.5691,3014.2529,101,2913.1827,0.0674,0.0324,0.0969,0.1769,0.1264,0.1264,0.0956,0.0956,0.0956,0.1032,0.1032,0.0956,0.0956,92.4326,103.2679,0.8918,0.833,0.5782,0.8745,1.486,NA,NA,NA,model fit is worse
NA,Mestrado,NA,NA,251,32,0.206,103.4302,59,3e-04,2422.7752,78,0,0.9811,0.9749,0.9749,0.9436,0.9573,0.7241,0.9812,0.9811,-3226.0858,-3174.3706,6516.1715,6628.986,251,6527.5423,0.0548,0.0367,0.072,0.3101,0.0829,0.0829,0.0442,0.0442,0.0442,0.0477,0.0477,0.0442,0.0442,190.1184,212.5299,0.9422,0.9108,0.6109,0.9153,0.6671,NA,NA,NA,model fit is worse
NA,Doutorado,NA,NA,146,32,0.4535,132.4076,59,0,1260.1703,78,0,0.9379,0.9179,0.9179,0.8611,0.8949,0.6769,0.9389,0.9379,-2002.05,-1935.8462,4068.1,4163.5755,146,4062.3131,0.0923,0.0713,0.1134,9e-04,0.2138,0.2138,0.0968,0.0968,0.0968,0.1045,0.1045,0.0968,0.0968,86.9305,97.1138,0.8856,0.8236,0.5742,0.7777,1.3453,NA,NA,NA,model fit is worse
