UserID,Unidade,Nivel,Modalidade
8d40f415a5d41e46e67a1762c1dc3bfb,Centro de Educação - CEDU,Graduação (licenciatura),Educação a Distância
e5fb2cf17bf0b7b948454153714b3768,Faculdade de Letras - FALE,Graduação (licenciatura),Presencial
f60eff22dd6a4042eb2ce7fa652d1570,"Faculdade de Economia, Administração e Contabilidade - FEAC",Graduação (bacharelado),Presencial
013f0b06edf60a16b83249f3f3638e48,Centro de Educação - CEDU,Graduação (licenciatura),Educação a Distância
e3f1a87822fdc5e7fc88f0cff697175f,Campus Sertão (Delmiro Gouveia e Santana do Ipanema),Graduação (bacharelado),Presencial
335bf1c194f2bbeac5fe6560c334c746,"Campus Arapiraca (Arapiraca, Palmeira dos Índios e Penedo)",Graduação (bacharelado),Presencial
484ecde21e135c19fc0475e88c4c2331,Campus Sertão (Delmiro Gouveia e Santana do Ipanema),Graduação (bacharelado),Presencial
ec03a4888745222551d278bdb0f23927,"Campus Arapiraca (Arapiraca, Palmeira dos Índios e Penedo)",Graduação (bacharelado),Presencial
230e91b5a167600f7b2ed3ca3f7e9175,Campus Sertão (Delmiro Gouveia e Santana do Ipanema),Graduação (bacharelado),Presencial
de668b86b4b40c84bc749ea2a908c36b,Instituto de Psicologia - IP,Graduação (bacharelado),Presencial
2754d4f18a11c29f0af1e05ace458bee,"Instituto de Ciências Humanas, Comunicação e Artes - ICHCA",Graduação (licenciatura),Presencial
9c44af9bf6e3dc1a650be2e8be1388d2,"Faculdade de Economia, Administração e Contabilidade - FEAC",Graduação (bacharelado),Presencial
b2dc0304ef9ec63cc8dc33adda39ebb8,Campus CECA,Graduação (bacharelado),Presencial
4bd1089d8897ab66aab64d3432981bbe,Faculdade de Arquitetura e Urbanismo - FAU,Graduação (bacharelado),Presencial
67b34364fe28747c0fc0bfe9fecadc7f,Faculdade de Serviço Social - FSSO,Graduação (bacharelado),Presencial
d1b6f368c3982a74b52571b585bb6c40,Centro de Educação - CEDU,Graduação (licenciatura),Presencial
7507ea517335ecc8259474f68c6f75bf,"Faculdade de Economia, Administração e Contabilidade - FEAC",Graduação (bacharelado),Presencial
a683d9d0ae96717c4a2e7181bc12fb37,"Campus Arapiraca (Arapiraca, Palmeira dos Índios e Penedo)",Especialização,Presencial
09f6731affa094aab3b89f8a9d01f6ac,Centro de Tecnologia - CTEC,Graduação (bacharelado),Presencial
341cfa6e9743e318b2b7284e274ae096,"Campus Arapiraca (Arapiraca, Palmeira dos Índios e Penedo)",Graduação (licenciatura),Educação a Distância
a5b0f2c2d7510fc95a2e039f7634caae,Instituto de Física - IF,Graduação (licenciatura),Educação a Distância
15e0c696462dd6e9aae622ec3ed37c2e,"Campus Arapiraca (Arapiraca, Palmeira dos Índios e Penedo)",Graduação (licenciatura),Educação a Distância
c77dceee6e46923ad05a7260aa29fb38,"Instituto de Geografia, Desenvolvimento e Meio Ambiente - IGDEMA",Graduação (licenciatura),Educação a Distância
a2336612f93ff953f067c16d627f8f9d,Instituto de Ciências Sociais - ICS,Graduação (licenciatura),Educação a Distância
2e1e64ef560c7d45efb514c403860ec9,"Campus Arapiraca (Arapiraca, Palmeira dos Índios e Penedo)",Graduação (licenciatura),Educação a Distância
ac4e45d1d3addca28e73fcdd1125c1d9,Centro de Educação - CEDU,Graduação (licenciatura),Educação a Distância
